generation,best_score,avg_score,best_mood_fit,best_smoothness,best_diversity,best_popularity,best_duration_fit
0,0.8997417899518266,0.8386480444486275,0.944589776529412,0.9320543188854489,0.9936693588925177,0.46449999999999997,0.9093791666666668
1,0.9001515039385644,0.8690968499170855,0.9466554009014707,0.9338771826625386,0.9827207564537414,0.39149999999999996,0.9965866666666671
2,0.9031918339350732,0.8825063888638133,0.9482276091985294,0.9352975851393189,0.9911817888204576,0.42349999999999993,0.9690141666666662
3,0.9074207240581127,0.8925761246605249,0.9452961347750002,0.9369608204334365,0.9936693588925177,0.4455,0.9904299999999999
4,0.9095267560772237,0.8977428755283929,0.9474254289117647,0.9318346594427245,0.9911817888204576,0.532,0.9353283333333333
5,0.9143490166699251,0.9010931509299582,0.947425806132353,0.9344591176470587,0.9936693588925177,0.5079999999999999,0.9960133333333335
6,0.9143490166699251,0.9044733892538511,0.947425806132353,0.9344591176470587,0.9936693588925177,0.5079999999999999,0.9960133333333335
7,0.9163448341403041,0.9087457020251081,0.9468949664117648,0.9295556191950464,0.9911817888204576,0.5465,0.9965633333333332
8,0.9174974906519504,0.910959688019901,0.9479926630941178,0.933873080495356,0.9936693588925177,0.546,0.9889791666666667
9,0.9220177497684269,0.9133328379958613,0.9478393897794118,0.9310467956656346,0.986102988812787,0.611,0.9919166666666666
10,0.9220177497684269,0.9153038496400682,0.9478393897794118,0.9310467956656346,0.986102988812787,0.611,0.9919166666666666
11,0.9220177497684269,0.9172584744643243,0.9478393897794118,0.9310467956656346,0.986102988812787,0.611,0.9919166666666666
12,0.9220177497684269,0.9199352561720728,0.9478393897794118,0.9310467956656346,0.986102988812787,0.611,0.9919166666666666
13,0.9236789021024052,0.920133020309357,0.9474405525735294,0.9359787770897832,0.986102988812787,0.6095,0.9990941666666668
14,0.9236789021024052,0.9201755445297636,0.9474405525735294,0.9359787770897832,0.986102988812787,0.6095,0.9990941666666668
15,0.9236789021024052,0.9202470704713746,0.9474405525735294,0.9359787770897832,0.986102988812787,0.6095,0.9990941666666668
16,0.9236789021024052,0.921578489210027,0.9474405525735294,0.9359787770897832,0.986102988812787,0.6095,0.9990941666666668
17,0.9236789021024052,0.921179540690857,0.9474405525735294,0.9359787770897832,0.986102988812787,0.6095,0.9990941666666668
18,0.9236789021024052,0.9215771177398467,0.9474405525735294,0.9359787770897832,0.986102988812787,0.6095,0.9990941666666668
19,0.9236789021024052,0.9219178149111892,0.9474405525735294,0.9359787770897832,0.986102988812787,0.6095,0.9990941666666668
20,0.9236789021024052,0.9222969085620825,0.9474405525735294,0.9359787770897832,0.986102988812787,0.6095,0.9990941666666668
21,0.9240926646361919,0.9216423304489015,0.9484039187058825,0.9378930185758513,0.9936693588925177,0.5905,0.9989416666666667
22,0.9240926646361919,0.9207297833202855,0.9484039187058825,0.9378930185758513,0.9936693588925177,0.5905,0.9989416666666667
23,0.9240926646361919,0.9209381502654236,0.9484039187058825,0.9378930185758513,0.9936693588925177,0.5905,0.9989416666666667
24,0.9240926646361919,0.9225714022968349,0.9484039187058825,0.9378930185758513,0.9936693588925177,0.5905,0.9989416666666667
25,0.9240926646361919,0.9224871487451112,0.9484039187058825,0.9378930185758513,0.9936693588925177,0.5905,0.9989416666666667
26,0.9240926646361919,0.9218103073509173,0.9484039187058825,0.9378930185758513,0.9936693588925177,0.5905,0.9989416666666667
27,0.9240926646361919,0.9213026655006575,0.9484039187058825,0.9378930185758513,0.9936693588925177,0.5905,0.9989416666666667
28,0.9246753792109539,0.9213640250297359,0.9502521472941178,0.9420741950464394,0.9966337278153476,0.574,0.9984183333333331
29,0.9246753792109539,0.9227217264198635,0.9502521472941178,0.9420741950464394,0.9966337278153476,0.574,0.9984183333333331
30,0.9246753792109539,0.9217768406882294,0.9502521472941178,0.9420741950464394,0.9966337278153476,0.574,0.9984183333333331
31,0.9246753792109539,0.92202704934877,0.9502521472941178,0.9420741950464394,0.9966337278153476,0.574,0.9984183333333331
32,0.9246753792109539,0.9210751934026259,0.9502521472941178,0.9420741950464394,0.9966337278153476,0.574,0.9984183333333331
33,0.9246753792109539,0.9226464662459756,0.9502521472941178,0.9420741950464394,0.9966337278153476,0.574,0.9984183333333331
34,0.9246753792109539,0.9215942103381412,0.9502521472941178,0.9420741950464394,0.9966337278153476,0.574,0.9984183333333331
35,0.9246753792109539,0.9210246380411911,0.9502521472941178,0.9420741950464394,0.9966337278153476,0.574,0.9984183333333331
36,0.9246753792109539,0.9233480764988258,0.9502521472941178,0.9420741950464394,0.9966337278153476,0.574,0.9984183333333331
37,0.9246753792109539,0.922958588389274,0.9502521472941178,0.9420741950464394,0.9966337278153476,0.574,0.9984183333333331
38,0.9246753792109539,0.9222354619787828,0.9502521472941178,0.9420741950464394,0.9966337278153476,0.574,0.9984183333333331
39,0.9246753792109539,0.9227732715067927,0.9502521472941178,0.9420741950464394,0.9966337278153476,0.574,0.9984183333333331
40,0.9256920708782657,0.9234669193420588,0.9484609995000002,0.9466032352941176,0.9966337278153476,0.5925,0.9850316666666667
41,0.9256920708782657,0.9227841186324395,0.9484609995000002,0.9466032352941176,0.9966337278153476,0.5925,0.9850316666666667
42,0.9272041391574193,0.9214902174042378,0.9495925730294118,0.9482979721362228,0.9966337278153476,0.5894999999999999,0.9949549999999998
43,0.9272041391574193,0.9224326054361915,0.9495925730294118,0.9482979721362228,0.9966337278153476,0.5894999999999999,0.9949549999999998
44,0.9272041391574193,0.9220383936396302,0.9495925730294118,0.9482979721362228,0.9966337278153476,0.5894999999999999,0.9949549999999998
45,0.9283666517348188,0.9237551389556199,0.9506458818529413,0.9476133900928791,0.9966337278153476,0.61,0.9841049999999999
46,0.9283666517348188,0.9247241839220076,0.9506458818529413,0.9476133900928791,0.9966337278153476,0.61,0.9841049999999999
47,0.9283666517348188,0.9245832218832649,0.9506458818529413,0.9476133900928791,0.9966337278153476,0.61,0.9841049999999999
48,0.9283666517348188,0.9263625209895366,0.9506458818529413,0.9476133900928791,0.9966337278153476,0.61,0.9841049999999999
49,0.9283666517348188,0.926543932409851,0.9506458818529413,0.9476133900928791,0.9966337278153476,0.61,0.9841049999999999
50,0.9283666517348188,0.926421635375128,0.9506458818529413,0.9476133900928791,0.9966337278153476,0.61,0.9841049999999999
51,0.9283666517348188,0.9264805226065473,0.9506458818529413,0.9476133900928791,0.9966337278153476,0.61,0.9841049999999999
52,0.9283666517348188,0.9271993371850598,0.9506458818529413,0.9476133900928791,0.9966337278153476,0.61,0.9841049999999999
53,0.9283666517348188,0.9266282839351523,0.9506458818529413,0.9476133900928791,0.9966337278153476,0.61,0.9841049999999999
54,0.9311765133420484,0.9270161287770696,0.9508753469705882,0.947608080495356,0.9936693588925177,0.6415,0.9858425000000001
55,0.9311765133420484,0.9251048355726178,0.9508753469705882,0.947608080495356,0.9936693588925177,0.6415,0.9858425000000001
56,0.9313702432567744,0.9273810234976348,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
57,0.9313702432567744,0.9284463107045124,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
58,0.9313702432567744,0.9295650186250688,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
59,0.9313702432567744,0.929484596167898,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
60,0.9313702432567744,0.9294780783872654,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
61,0.9313702432567744,0.9302179278863395,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
62,0.9313702432567744,0.9293927189588189,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
63,0.9313702432567744,0.9301370763929895,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
64,0.9313702432567744,0.9300747482575177,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
65,0.9313702432567744,0.928672902480468,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
66,0.9313702432567744,0.9298988710128236,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
67,0.9313702432567744,0.9288559195391659,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
68,0.9313702432567744,0.9299635163339274,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
69,0.9313702432567744,0.9288895243280854,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
70,0.9313702432567744,0.9285989990729582,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
71,0.9313702432567744,0.9287728064546344,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
72,0.9313702432567744,0.929913266848162,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
73,0.9313702432567744,0.9286080108939031,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
74,0.9313702432567744,0.9294914410264363,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
75,0.9313702432567744,0.9292387949886226,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
76,0.9313702432567744,0.9298623518548257,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
77,0.9313702432567744,0.9294366906783338,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
78,0.9313702432567744,0.9290690625324438,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
79,0.9313702432567744,0.9299667253713635,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
80,0.9313702432567744,0.9302493695490216,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
81,0.9313702432567744,0.9297671155188364,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
82,0.9313702432567744,0.9290627692555549,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
83,0.9313702432567744,0.9298690110198714,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
84,0.9313702432567744,0.9298162562052954,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
85,0.9313702432567744,0.9293594337808893,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
86,0.9313702432567744,0.9287983149211584,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
87,0.9313702432567744,0.9299096567001712,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
88,0.9313702432567744,0.9294602157850442,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
89,0.9313702432567744,0.9297214522406125,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
90,0.9313702432567744,0.9301428833447257,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
91,0.9313702432567744,0.9299741148399048,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
92,0.9313702432567744,0.9296694671495073,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
93,0.9313702432567744,0.9294858801039081,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
94,0.9313702432567744,0.9295784393503135,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
95,0.9313702432567744,0.9295153050388083,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
96,0.9313702432567744,0.9288678574481518,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
97,0.9313702432567744,0.929668251095139,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
98,0.9313702432567744,0.9289972650629216,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
99,0.9313702432567744,0.930275483742964,0.9504072409411766,0.952059520123839,0.9966337278153476,0.628,0.9858608333333333
