component,initial,final
mood_fit,0.944589776529412,0.9504072409411766
smoothness,0.9320543188854489,0.952059520123839
diversity,0.9936693588925177,0.9966337278153476
popularity,0.46449999999999997,0.628
duration_fit,0.9093791666666668,0.9858608333333333
