iteration,current_score,best_score,tabu_list_size,best_mood_fit,best_smoothness,best_diversity,best_popularity,best_duration_fit
0,0.8766887750618221,0.8766887750618221,1,0.9482600023676471,0.9638797058823529,0.986102988812787,0.37000000000000005,0.6960724999999996
1,0.8830678254630089,0.8830678254630089,2,0.947972839132353,0.9609262693498453,0.986102988812787,0.398,0.7402516666666663
2,0.8931005616603513,0.8931005616603513,3,0.9486082213544117,0.9572579411764707,0.9886909944609477,0.4,0.8403500000000002
3,0.8997674159744756,0.8997674159744756,4,0.9479543095897057,0.954210572755418,0.986102988812787,0.4205,0.9016016666666673
4,0.9107968510864466,0.9107968510864466,5,0.9473457525308822,0.951905959752322,0.986102988812787,0.44700000000000006,0.9932874999999995
5,0.9127563859916324,0.9127563859916324,6,0.9462374312073528,0.9507217492260063,0.986102988812787,0.47400000000000003,0.9927225
6,0.9135591208024831,0.9135591208024831,7,0.9465584720749998,0.9522428018575851,0.9936693588925177,0.471,0.9836908333333334
7,0.9191328560192014,0.9191328560192014,8,0.9483176779573528,0.954563854489164,0.9936693588925177,0.508,0.9904683333333335
8,0.9219597008583266,0.9219597008583266,9,0.9486144308073529,0.9513108359133127,0.9911817888204576,0.539,0.9998058333333333
9,0.9221791413227228,0.9221791413227228,10,0.9488325955132353,0.9537221671826626,0.9911817888204576,0.5435000000000001,0.9907083333333333
10,0.9233168104748126,0.9233168104748126,11,0.9488440562485294,0.95137479876161,0.9911817888204576,0.554,0.9974133333333335
11,0.9223438524433369,0.9233168104748126,12,0.9488440562485294,0.95137479876161,0.9911817888204576,0.554,0.9974133333333335
12,0.9230488780238323,0.9233168104748126,13,0.9488440562485294,0.95137479876161,0.9911817888204576,0.554,0.9974133333333335
13,0.9244710473865774,0.9244710473865774,14,0.9479836827191177,0.9487512693498452,0.9911817888204576,0.5760000000000002,0.9965258333333334
14,0.9252582824613074,0.9252582824613074,15,0.9464346787485294,0.9523744891640867,0.9892651130415017,0.5850000000000002,0.9955950000000001
15,0.9247200493982362,0.9252582824613074,16,0.9464346787485294,0.9523744891640867,0.9892651130415017,0.5850000000000002,0.9955950000000001
16,0.9267050156572304,0.9267050156572304,17,0.9483728082514705,0.9564796439628481,0.9936693588925177,0.5725000000000001,0.9967075000000009
17,0.9259925776670342,0.9267050156572304,18,0.9483728082514705,0.9564796439628481,0.9936693588925177,0.5725000000000001,0.9967075000000009
18,0.9280866505923023,0.9280866505923023,19,0.9482538058397058,0.9590461764705881,0.9911817888204576,0.5900000000000001,0.9919991666666675
19,0.9285312570989742,0.9285312570989742,20,0.9485895411338234,0.9587865170278637,0.9936693588925177,0.5810000000000001,0.9999441666666662
20,0.9270355525896348,0.9285312570989742,21,0.9485895411338234,0.9587865170278637,0.9936693588925177,0.5810000000000001,0.9999441666666662
21,0.9270995551360744,0.9285312570989742,22,0.9485895411338234,0.9587865170278637,0.9936693588925177,0.5810000000000001,0.9999441666666662
22,0.926175626953799,0.9285312570989742,23,0.9485895411338234,0.9587865170278637,0.9936693588925177,0.5810000000000001,0.9999441666666662
23,0.9277117390381585,0.9285312570989742,24,0.9485895411338234,0.9587865170278637,0.9936693588925177,0.5810000000000001,0.9999441666666662
24,0.9273642779339274,0.9285312570989742,25,0.9485895411338234,0.9587865170278637,0.9936693588925177,0.5810000000000001,0.9999441666666662
25,0.9297509143079011,0.9297509143079011,26,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
26,0.9292123521920542,0.9297509143079011,27,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
27,0.9291452176062189,0.9297509143079011,28,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
28,0.9282623148477379,0.9297509143079011,29,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
29,0.9291625399380373,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
30,0.9288316316849469,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
31,0.9291142434238531,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
32,0.9293252876253141,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
33,0.929552053259989,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
34,0.9291376327344174,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
35,0.9286051454039519,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
36,0.9283303173595762,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
37,0.9276864108064287,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
38,0.9280697743582862,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
39,0.9282768575040609,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
40,0.9284657542935215,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
41,0.9281513338959411,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
42,0.9284432632432063,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
43,0.9274288093127934,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
44,0.9297022293602005,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
45,0.9290582382376813,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
46,0.9282871991440279,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
47,0.9294392695645645,0.9297509143079011,30,0.9488427582514705,0.9549509752321982,0.9936693588925177,0.6065,0.9953433333333337
48,0.9316435232797349,0.9316435232797349,30,0.9490001330014705,0.9508685913312693,0.9966337278153476,0.627,0.9974958333333337
49,0.9307551591742137,0.9316435232797349,30,0.9490001330014705,0.9508685913312693,0.9966337278153476,0.627,0.9974958333333337
50,0.9302057797941828,0.9316435232797349,30,0.9490001330014705,0.9508685913312693,0.9966337278153476,0.627,0.9974958333333337
51,0.9319307326966596,0.9319307326966596,30,0.9500422800602941,0.9514420897832817,0.9966337278153476,0.6380000000000001,0.9842866666666673
52,0.931802483651252,0.9319307326966596,30,0.9500422800602941,0.9514420897832817,0.9966337278153476,0.6380000000000001,0.9842866666666673
53,0.9319115582224594,0.9319307326966596,30,0.9500422800602941,0.9514420897832817,0.9966337278153476,0.6380000000000001,0.9842866666666673
54,0.9322119653561022,0.9322119653561022,30,0.9499746365308823,0.949414721362229,0.9966337278153476,0.6435000000000002,0.986904166666666
55,0.9350013908422606,0.9350013908422606,30,0.9516352470161763,0.9530432352941176,0.9966337278153476,0.6490000000000001,0.9944149999999994
56,0.9341778692220336,0.9350013908422606,30,0.9516352470161763,0.9530432352941176,0.9966337278153476,0.6490000000000001,0.9944149999999994
57,0.9340331897715692,0.9350013908422606,30,0.9516352470161763,0.9530432352941176,0.9966337278153476,0.6490000000000001,0.9944149999999994
58,0.9336337417227778,0.9350013908422606,30,0.9516352470161763,0.9530432352941176,0.9966337278153476,0.6490000000000001,0.9944149999999994
59,0.9339177782423858,0.9350013908422606,30,0.9516352470161763,0.9530432352941176,0.9966337278153476,0.6490000000000001,0.9944149999999994
60,0.933205894982663,0.9350013908422606,30,0.9516352470161763,0.9530432352941176,0.9966337278153476,0.6490000000000001,0.9944149999999994
61,0.9332163907256972,0.9350013908422606,30,0.9516352470161763,0.9530432352941176,0.9966337278153476,0.6490000000000001,0.9944149999999994
