component,initial,final
mood_fit,0.9445832083926471,0.9494470663441176
smoothness,0.9382865015479878,0.9620466563467491
diversity,0.9774625468375575,0.9911817888204572
popularity,0.31900000000000006,0.6914999999999999
duration_fit,0.0,0.9980291666666666
